phase at birth, daughter phase diff	std error
0.4	-0.041727815103053234	0.007028019696021576
0.8	0.023995837210874664	0.009314746190639595
0.	-0.0018059544643935607	0.02251916960682832
0.30000000000000004	-0.022711003898116103	0.007924641002294874
0.9	0.007064562689338127	0.007931477892695646
0.2	0.011812022164960845	0.014802743661837774
0.5	-0.0012314708872946014	0.008602153842795956
0.6000000000000001	0.0036315629161211382	0.009828544161451474
0.7000000000000001	0.040287106974720883	0.015065395544744321
0.1	0.04831523651118856	0.026996667991583744
