phase at birth, daughter phase diff	std error
0.6000000000000001	-0.00441134679528615	0.0031002246217366157
0.9	0.002619577865481186	0.0015377709306107898
0.30000000000000004	0.0012821433826870224	0.0014299830891260816
0.	0.013626302263638545	0.009705328427234722
0.7000000000000001	0.004035969368963441	0.004014946007507149
0.2	0.02511022556125752	0.005664639009756752
0.5	-0.006581547956688968	0.004304017118531048
0.8	0.011141586003659068	0.012493003170509363
0.4	-0.013710224595202828	0.006394269782905859
0.1	0.04746632766556127	0.01188788967956261
