phase at birth, daughter phase diff	std error
0.7000000000000001	0.010711990485157547	0.0035369755270098844
0.	-0.032552639628714214	0.008434355938275968
0.4	-0.0016096323121870656	0.0010585792415554204
0.8	0.0027686323590622457	0.002174558174558208
0.30000000000000004	-0.0036753342410130465	0.001254380623472006
0.6000000000000001	0.0017916958157722276	0.0025629854492045384
0.2	-0.003805466627877776	0.0021824472030951138
0.5	0.0012079014923668146	0.002534520233407743
0.1	-0.007459928391988858	0.007975390850407348
0.9	-0.004038556145669505	0.0013193573745403796
