phase at birth, daughter phase diff	std error
0.7000000000000001	0.007044221909941276	0.0034681847624803844
0.30000000000000004	-0.0017018333927058486	0.0022375315564091072
0.5	-0.003691761941726551	0.006983194803818171
0.4	0.003074162177041875	0.002977011629266466
0.6000000000000001	0.007070510448895963	0.004658907020569274
0.9	-0.0021155013594592715	0.004592273675947932
0.	0.034719699895102596	0.020723138308565887
0.2	0.021336237058704938	0.03400055079146195
0.1	-0.02673896866680119	0.027647692283374922
0.8	0.023918580763218622	0.0076071406724614815
