phase at birth, daughter phase diff	std error
0.	0.03584010084169216	0.016304666842465978
0.30000000000000004	-0.0013658572136584274	0.005168536402168652
0.6000000000000001	-0.004688424166891646	0.010301098759674474
0.2	0.03911008761053818	0.0105990596249748
0.4	-0.014565574469464389	0.005835534106494805
0.9	0.0014781832299423092	0.002861394045949197
0.5	-0.0028141886832115455	0.005387270856593041
0.1	0.03539593043556931	0.012782621767993626
0.7000000000000001	-0.004757178365866384	0.00739129300225738
0.8	(-0.017199017455849397)["Value"]	(-0.017199017455849397)["Uncertainty"]
