"time [h]","sync idx"
0.75,0.7823228939027608
1.5,0.9013619577605153
2.25,0.9130730696471905
3.,0.9536320360537116
3.75,0.9564571229012534
4.5,0.9660939569059781
5.25,0.9699804463480679
6.,0.9722057991761934
6.75,0.9707388936860787
7.5,0.9687692181318712
8.25,0.971127171991571
9.,0.9717542697766918
9.75,0.9677477106842233
10.5,0.9673025694013653
11.25,0.9677087455320583
12.,0.9687007476102539
12.75,0.9717084625299021
13.5,0.975779412151659
14.25,0.9798393083735182
15.,0.9810733724948263
15.75,0.9836389328731387
16.5,0.9843892474187835
17.25,0.9852788012843281
18.,0.985991058808351
18.75,0.9864411626703241
19.5,0.9864901693287456
20.25,0.9861132766608153
21.,0.9856011715302422
21.75,0.9842180979121001
22.5,0.9825998193027202
23.25,0.979463554921748
24.,0.9764843611246837
24.75,0.9723536362039934
25.5,0.9671783449062785
26.25,0.961267247566185
27.,0.956565612390694
27.75,0.9530047939108314
28.5,0.9539666334708613
29.25,0.9531502426642409
30.,0.9531985302234098
30.75,0.9511381676122649
31.5,0.9464195711540937
32.25,0.9447719193726088
33.,0.9441110342219527
33.75,0.9434216579963247
34.5,0.9386156085440293
35.25,0.9387591870808247
36.,0.9374627938325466
36.75,0.941777900671059
37.5,0.9473710112695286
38.25,0.9500375253186844
39.,0.9571461433083837
39.75,0.9611779049567178
40.5,0.9633822193102923
41.25,0.9646384402754544
42.,0.9681736058792413
42.75,0.96884280425614
43.5,0.9698213217863868
44.25,0.9701741501267421
45.,0.9696473293746755
45.75,0.9702904971301471
46.5,0.9692519808893547
47.25,0.9670188345701893
48.,0.9621186101414169
48.75,0.9547831432798469
49.5,0.9504998125091707
50.25,0.9439820936582115
51.,0.9373354795206292
51.75,0.9357949076969246
52.5,0.9336228829199441
53.25,0.9277568608973554
54.,0.9229753647178386
54.75,0.9063197635644475
55.5,0.9274921621971055
56.25,0.9231172924435159
57.,0.9236952752359163
57.75,0.9248724572397128
58.5,0.9117005790860517
59.25,0.9109857381134152
60.,0.9060349855962095
60.75,0.9134877094244022
61.5,0.9233137199396835
62.25,0.9278236121706602
63.,0.9293882898081604
63.75,0.9355093663344277
64.5,0.947497436238625
65.25,0.9499950933471439
66.,0.9534638448192188
66.75,0.9524436080807687
67.5,0.955742256183503
68.25,0.9557718396737366
69.,0.9574327901320254
69.75,0.9512050844564244
70.5,0.9564149459251623
71.25,0.948557411732455
72.,0.9424411986615465
72.75,0.9358459059604585
73.5,0.9285482780114831
74.25,0.9230252955777559
75.,0.9211586250295554
75.75,0.9198379811832398
76.5,0.9040751359615554
77.25,0.9239670130852664
78.,0.9186909524344008
78.75,0.9180149805924347
79.5,0.9165161614872275
80.25,0.9154599393145112
81.,0.9067501493825517
81.75,0.9007315766289996
82.5,0.8908906995345068
83.25,0.8947786739134289
84.,0.9016047149018968
84.75,0.9033370967029817
85.5,0.9082962113124354
86.25,0.9084465995933566
87.,0.9179873685998747
87.75,0.9204414070460354
88.5,0.9129499250587509
89.25,0.9334360326028344
90.,0.9390450961373881
90.75,0.9412304386984004
91.5,0.942851548681101
92.25,0.9412105678222833
93.,0.9428245973929015
93.75,0.9329173369159028
94.5,0.9389941378600208
95.25,0.9325525969934916
96.,0.9249647482837616
96.75,0.9195708585290162
97.5,0.9070901546846819
98.25,0.9028209051031273
99.,0.8896060112593265
99.75,0.8840822979236311
100.5,0.8815993695971429
101.25,0.8907901441415961
102.,0.7949442939444005
102.75,0.8862811741306622
103.5,0.8901346961919382
104.25,0.8867797353492093
105.,0.8731334500354859
105.75,0.8799279408614702
106.5,0.8726252123084521
107.25,0.8664538503926649
108.,0.8577566474828027
108.75,0.852011284142632
109.5,0.8765930647521919
110.25,0.9158897318749708
111.,0.9257524099168201
111.75,0.9309293865099632
112.5,0.9325763041768284
113.25,0.934843545879896
114.,0.9414476445520495
114.75,0.9424571204225205
115.5,0.9431682142788029
116.25,0.9416254427406675
117.,0.9439064946854598
117.75,0.9394910258906418
118.5,0.9391679435244058
119.25,0.9262094642418339
120.,0.9368570333963787
120.75,0.928904204368319
121.5,0.9210961240541116
122.25,0.9075744813868585
123.,0.908388106870258
123.75,0.9012588598837538
124.5,0.8944336522918518
125.25,0.9396852184920917
126.,0.7796178650413128
126.75,0.9377518107694516
127.5,0.9291276931379374
128.25,0.9217442811524225
129.,0.9182117891661797
129.75,0.90360754329201
130.5,0.9098492682569501
131.25,0.8854237437619754
132.,0.9168580828261349
132.75,0.9163662964116575
133.5,0.915967032503801
134.25,0.8970225292598661
135.,0.8994364530052197
