"time [h]","sync idx"
0.75,0.971939431611622
1.5,0.9742213203725072
2.25,0.9749000004440488
3.,0.9826083762472357
3.75,0.9788765252233227
4.5,0.9838346922168288
5.25,0.9814313667322846
6.,0.9836291829460866
6.75,0.9841888949131662
7.5,0.9823520908352189
8.25,0.9792714812425882
9.,0.9800822170172527
9.75,0.9762045519145754
10.5,0.9709285483832997
11.25,0.968955503102401
12.,0.9709818579985378
12.75,0.9686608179034788
13.5,0.9694083976242077
14.25,0.9701390449868906
15.,0.9684068699001064
15.75,0.9678022159061004
16.5,0.9651999640910405
17.25,0.9650939662274971
18.,0.9631284979120477
18.75,0.9637481395956978
19.5,0.958205969412466
20.25,0.9562766850942762
21.,0.9520199894175593
21.75,0.9518211976643084
22.5,0.9463553183969063
23.25,0.943269598438215
24.,0.9370153493827822
24.75,0.9349039744915406
25.5,0.9273511072361653
26.25,0.9174377891079408
27.,0.9102292370082674
27.75,0.9052362113949696
28.5,0.9047835504809536
29.25,0.9000058348425333
30.,0.9051457740551447
30.75,0.9067707124109015
31.5,0.9172970885798648
32.25,0.9212902835579773
33.,0.926185083444366
33.75,0.9316223024765958
34.5,0.9324455083759156
35.25,0.9295292493770406
36.,0.9250226766136349
36.75,0.9242040828051323
37.5,0.9255472507843867
38.25,0.9306231860450462
39.,0.93217439303712
39.75,0.940402276488734
40.5,0.94676964796598
41.25,0.9532990659679634
42.,0.9574276736366044
42.75,0.9569955248331307
43.5,0.9595044213957534
44.25,0.9584698467375149
45.,0.9579210158353813
45.75,0.9574028382826074
46.5,0.955963578897308
47.25,0.956682991264114
48.,0.9527570900824924
48.75,0.9516201242780273
49.5,0.9468745349023596
50.25,0.9429573404532915
51.,0.9327121536751374
51.75,0.9238439695791404
52.5,0.9148438078670844
53.25,0.8993939800977784
54.,0.8947253366759852
54.75,0.8838651082295572
55.5,0.8800917932423271
56.25,0.8822846626004459
57.,0.8862416508905666
57.75,0.8938514638819429
58.5,0.8962684551350047
59.25,0.897180163932849
60.,0.8947164327210313
60.75,0.8853869618223547
61.5,0.886135656775451
62.25,0.8836063719836703
63.,0.8874982358341285
63.75,0.8895295609809752
64.5,0.9030982754893778
65.25,0.9176797828055848
66.,0.924053338354795
66.75,0.9332572097148272
67.5,0.9389427878772971
68.25,0.9421908729211855
69.,0.9464133338234025
69.75,0.948148782000991
70.5,0.9506678888885627
71.25,0.95028996609708
72.,0.9496862082636401
72.75,0.9508752492936497
73.5,0.9501995496790517
74.25,0.9457325648923074
75.,0.9408500409189525
75.75,0.9347733786663337
76.5,0.9239222495965099
77.25,0.9097408469584521
78.,0.8959370539013501
78.75,0.8834510953283656
79.5,0.8704338116223231
80.25,0.8588995616136988
81.,0.8491786587843441
81.75,0.8405330212047577
82.5,0.8337951283032955
83.25,0.8317149737685418
84.,0.8064048244880361
84.75,0.8160068905147662
85.5,0.8119914743416908
86.25,0.7971574171647172
87.,0.8103176362588828
87.75,0.8144719302375826
88.5,0.8199160780336654
89.25,0.8374126160770676
90.,0.8562413600498657
90.75,0.8746032272840917
91.5,0.8855770112464351
92.25,0.8976327253105167
93.,0.9078988629337273
93.75,0.9157747754865563
94.5,0.9220873372941872
95.25,0.9262625946670429
96.,0.9291193709666586
96.75,0.9349272408615759
97.5,0.9343136409427548
98.25,0.9336105325251752
99.,0.9306255252372411
99.75,0.926600544799871
100.5,0.9224868963386592
101.25,0.9153339062604195
102.,0.9049309170206041
102.75,0.8956347125982576
103.5,0.8841206891090275
104.25,0.8753618051983791
105.,0.8656173946412298
105.75,0.8505727668850399
106.5,0.8481082604038278
107.25,0.8264421893566586
108.,0.8564418970749694
108.75,0.8502909088358155
109.5,0.8424503807351306
110.25,0.8233038248057355
111.,0.8334438570477516
111.75,0.8230423723251137
112.5,0.8224439624987231
113.25,0.8215114070415112
114.,0.8299709804990678
114.75,0.8425383842903172
115.5,0.8590438540443023
116.25,0.8609672033361413
117.,0.8802638378938893
117.75,0.8827819917837714
118.5,0.8984352240987359
119.25,0.904147701678666
120.,0.9102069532024931
120.75,0.912366964797319
121.5,0.9124313075162614
122.25,0.9148476618348617
123.,0.9128686971324985
123.75,0.9129545717783254
124.5,0.9090714280233733
125.25,0.9057310492778945
126.,0.8998720977803638
126.75,0.8935393688876596
127.5,0.8815371124686018
128.25,0.8744458428089118
129.,0.8621547876490957
129.75,0.8632722806001722
130.5,0.8499892651819305
131.25,0.8554232512780342
132.,0.8404519134352749
132.75,0.8495679567674894
133.5,0.8118153409106841
134.25,0.8581019798234318
135.,0.8170042351206319
135.75,0.8453788010268517
136.5,0.9221373141809229
