"time [h]","sync idx"
0.75,0.5309807273858173
1.5,0.8296016742776219
2.25,0.8825923482567881
3.,0.9074976271192107
3.75,0.920136269558549
4.5,0.9308162496865158
5.25,0.9350018450603882
6.,0.9357316570916102
6.75,0.9428648981460794
7.5,0.940959511546889
8.25,0.9429098827800476
9.,0.9458143692246426
9.75,0.9550245284120262
10.5,0.9598528241780481
11.25,0.9664079015007064
12.,0.9707581465259755
12.75,0.972770192488288
13.5,0.9740571264982304
14.25,0.976178298214351
15.,0.9793188067374721
15.75,0.9787501197147424
16.5,0.9805906010200425
17.25,0.9797491632207374
18.,0.9789513329669719
18.75,0.9790950629100359
19.5,0.9787158519617333
20.25,0.9746483944299583
21.,0.9707039605789943
21.75,0.964843900367645
22.5,0.9574292435097932
23.25,0.9513229453382847
24.,0.943660937782287
24.75,0.9363106727685109
25.5,0.9315621678962946
26.25,0.9264659113404528
27.,0.921094538320074
27.75,0.9203587273239853
28.5,0.9166927086317901
29.25,0.9111100236980553
30.,0.9072270983704027
30.75,0.8970293774011711
31.5,0.8914596014891655
32.25,0.8956346253511098
33.,0.8945637077689832
33.75,0.8900137740529941
34.5,0.9009276537267511
35.25,0.9047199388920674
36.,0.9137715354380146
36.75,0.9229304374792213
37.5,0.926920430548426
38.25,0.9376024091831032
39.,0.9359090028131556
39.75,0.9417459243081545
40.5,0.9455968056789071
41.25,0.9472329756337281
42.,0.9504350903191571
42.75,0.9498978607894223
43.5,0.9511755126659454
44.25,0.9505197217485523
45.,0.9461132863713915
45.75,0.9402561736207234
46.5,0.9345072382992649
47.25,0.9262814458511912
48.,0.9163212970378509
48.75,0.9062932833304355
49.5,0.9017100745816875
50.25,0.9008682158191587
51.,0.8943438564409606
51.75,0.8928230588565861
52.5,0.8959324368728913
53.25,0.8987068509844892
54.,0.8997549513706422
54.75,0.8930056227616582
55.5,0.89195934678888
56.25,0.884428404498178
57.,0.8824729441561061
57.75,0.8853360310756924
58.5,0.8890232343027471
59.25,0.8969122076476238
60.,0.9093598474558339
60.75,0.9216267518411819
61.5,0.9257714765608618
62.25,0.9345413003158722
63.,0.9392725883922827
63.75,0.9442608262860139
64.5,0.9453468831234695
65.25,0.9510177508353806
66.,0.9502384327124606
66.75,0.9469320736243003
67.5,0.9489152943391801
68.25,0.9443121841194364
69.,0.9407406772640431
69.75,0.9366541160177352
70.5,0.9284527194397387
71.25,0.9245392179219729
72.,0.9172724797514893
72.75,0.9094501440281866
73.5,0.9040687526916465
74.25,0.9060164477854469
75.,0.9039178344400004
75.75,0.8940603357031306
76.5,0.9002877653155759
77.25,0.887902830600273
78.,0.8780375549447139
78.75,0.8970751787207571
79.5,0.8972102352818164
80.25,0.8949340504966244
81.,0.8811578906373455
81.75,0.8537874654630639
82.5,0.8792822629046997
83.25,0.8656438854982963
84.,0.8671053592095391
84.75,0.8610691427624921
85.5,0.8500080521514153
86.25,0.900063849709746
87.,0.9024548580164445
87.75,0.9397309331537492
88.5,0.9400786776282481
89.25,0.9440417738770297
90.,0.9489662414584785
90.75,0.9477369993111385
91.5,0.9510534137300427
92.25,0.9402287080575081
93.,0.949716446356361
93.75,0.9450341231467078
94.5,0.9398554625753403
95.25,0.9307001709188505
96.,0.9234972104441266
96.75,0.9158390383752802
97.5,0.9055753263135079
98.25,0.9001328678935684
99.,0.9097281970899203
99.75,0.9002422840858683
100.5,0.8988800869531146
101.25,0.9041873271365154
102.,0.8979589379605544
102.75,0.88637045895481
103.5,0.8813699324041357
104.25,0.8685613724855806
105.,0.8560821692664186
105.75,0.8583073174324943
106.5,0.8534079392620796
107.25,0.8667593772098732
108.,0.8716370370854652
108.75,0.8866460516272422
109.5,0.8970237567650995
110.25,0.9062228746295712
111.,0.9155755209750238
111.75,0.9117094000810398
112.5,0.9164915445762237
113.25,0.9062591096098938
114.,0.9331166739189453
114.75,0.9391436399066302
115.5,0.9380476370670456
116.25,0.9392437224558157
117.,0.930232211429565
117.75,0.9391038174563471
118.5,0.9355276580529753
119.25,0.9304065110819443
120.,0.9239166207179197
120.75,0.9206627737942806
121.5,0.9111923335613558
122.25,0.9077589480711059
123.,0.9039094670771436
123.75,0.9101235147141103
124.5,0.9080225525493077
125.25,0.9014616742127833
126.,0.9047403727798701
126.75,0.900833912164671
127.5,0.8944919655831778
128.25,0.8868079230639652
129.,0.8678120313815082
129.75,0.8638117080780677
130.5,0.8341003731409171
131.25,0.834972186710411
132.,0.8004874063318312
132.75,0.7447589626531892
133.5,0.6934683149649574
134.25,0.6503464457124104
135.,0.4931612722558853
