"#phase","CV^2","1/E[YFP]]"
0.1,0.0017788899133977095,0.00016256882679773865
0.11,0.00175923741229196,-0.00009357340986211843
0.12000000000000001,0.00174604459682119,-0.00024832103949750436
0.13,0.0017389781419879168,-0.00030715659485095587
0.14,0.001737704722794657,-0.0002755626086650084
0.15000000000000002,0.001741891014243928,-0.0001590216136821991
0.16,0.0017512036913382466,0.000036983857354935075
0.17,0.0017653094290801298,0.0003069712717038587
0.18,0.0017838749024720944,0.0006454580966220335
0.19,0.001806566786516658,0.001046961799366925
0.2,0.001833051756216337,0.0015059998471959957
0.21000000000000002,0.0018629964865736488,0.002017089707366709
0.22,0.00189606765259111,0.0025747488471365276
0.23,0.0019319319292712383,0.0031734947337629165
0.24000000000000002,0.0019702559916165503,0.0038078448345033383
0.25,0.0020107065146295626,0.004472316616615254
0.26,0.002052950173312793,0.005161427547356132
0.27,0.002096653642668758,0.005869695093983435
0.28,0.0021414835976999746,0.006591636723754623
0.29000000000000004,0.0021871067134089602,0.007321769903927161
0.30000000000000004,0.0022331896647982317,0.008054612101758514
0.31,0.002283058490042904,0.00848239094182162
0.32,0.0023324987213866784,0.008920234330584807
0.33,0.0023809552542458532,0.009380980331831865
0.33999999999999997,0.0024278729840367273,0.00987746700934659
0.35,0.0024726968061756006,0.010422532426912788
0.36,0.0025148716160787706,0.011029014648314255
0.37,0.0025538423091625373,0.011709751737334784
0.38,0.002589053780843199,0.012477581757758179
0.39,0.002619950926537055,0.013345342773368234
0.4,0.0026459786416604043,0.014325872847948748
0.41000000000000003,0.0026500827979823657,0.01647961555201541
0.42000000000000004,0.0026492072553935195,0.018708312199787885
0.43000000000000005,0.0026437968501372673,0.020961309612217743
0.44000000000000006,0.002634296418457009,0.023187954610256543
0.45000000000000007,0.0026211507965961454,0.025337594014855858
0.45999999999999996,0.0026048048207980776,0.027359574646967214
0.47,0.002585703327306206,0.029203243327542226
0.48,0.0025642911523639316,0.03081794687753243
0.49,0.0025410131322146545,0.03215303211788939
0.5,0.002516314103101776,0.033157845869564676
0.51,0.0024957737112562945,0.032148596031090895
0.52,0.0024743907823287035,0.030806746462348787
0.53,0.002452298951957095,0.02918062210080017
0.54,0.0024296318557795616,0.027318547883906835
0.55,0.0024065231294341945,0.025268848749130587
0.56,0.0023831064085590853,0.023079849633933232
0.5700000000000001,0.0023595153287923262,0.02079987547577657
0.58,0.002335883525772009,0.018477251212122424
0.59,0.002312344635136225,0.016160301780432547
0.6,0.0022890322925230664,0.013897352118168766
0.61,0.0022697941134541106,0.01257817009890342
0.62,0.0022508246639940557,0.011358641182405326
0.63,0.002232032490091085,0.01023609376455382
0.64,0.0022133261376933817,0.009207856241228244
0.65,0.00219461415274913,0.008271257008307947
0.66,0.002175805081206513,0.007423624461672268
0.67,0.0021568074690137143,0.0066622869972005555
0.6799999999999999,0.002137529862118918,0.005984573010772159
0.69,0.0021178808064703063,0.005387810898266409
0.7,0.0020977688480160643,0.004869329055562656
0.71,0.0020739315707834372,0.004460840952640723
0.72,0.002049640662151906,0.0041232059673946
0.73,0.002024996847580014,0.0038516685518187534
