perturbation,mean,noise
-2.0,Inf,0.0
-1.95,Inf,0.0
-1.9,Inf,0.0
-1.85,Inf,0.0
-1.8,1558.5,NaN
-1.75,580.3125,0.6185005252390696
-1.7,292.2,0.6729581576696149
-1.65,203.5,0.5609159953290181
-1.6,131.47826086956522,0.42620785337465017
-1.55,74.68604651162791,0.44466756198956564
-1.5,59.84722222222222,0.35797781697358716
-1.45,55.73275862068966,0.34486475653132637
-1.4,49.54477611940298,0.2739787447606232
-1.35,45.71917808219178,0.2752670892609951
-1.3,42.50961538461539,0.24601067036647262
-1.25,40.675925925925924,0.18318813035527776
-1.2,39.37951807228916,0.19166691081010265
-1.15,37.85344827586207,0.20996308931456614
-1.1,37.48314606741573,0.16821995609740156
-1.05,36.395604395604394,0.137047077335926
-1.0,34.48453608247423,0.13694093798210416
-0.95,34.82368421052632,0.11596587204876084
-0.9,34.26030927835052,0.11586099699565261
-0.85,32.79207920792079,0.10878309718510354
-0.8,33.1425,0.10021086139617348
-0.75,32.63970588235294,0.10610181755644084
-0.7,32.39705882352941,0.08382080890514011
-0.65,32.08413461538461,0.08450081343280404
-0.6,32.65841584158416,0.07965405656200364
-0.55,32.92574257425743,0.062340382737699936
-0.5,32.02644230769231,0.06484573465559314
-0.45,32.148058252427184,0.04431876211441427
-0.4,30.95138888888889,0.04633357929338777
-0.35,30.39908256880734,0.040785067944543785
-0.3,29.31637168141593,0.032711770153001196
-0.25,28.14075630252101,0.0393857916794357
-0.2,27.40289256198347,0.03773291457557689
-0.15,26.422619047619047,0.03293860612928099
-0.1,25.725,0.03920743166596085
-0.05,24.811567164179106,0.03799191523111306
0.0,24.306569343065693,0.04242552209372238
0.05,23.588028169014084,0.040534486106219625
0.1,23.03125,0.04354953842157698
0.15,22.348993288590606,0.044816844961735595
0.2,21.711038961038962,0.04499603532764959
0.25,20.9296875,0.054039387121869106
0.3,20.295454545454547,0.05781306073636637
0.35,19.883928571428573,0.08687840896116575
0.4,17.843582887700535,0.2343658364750712
0.45,16.987309644670052,0.26809123702984516
0.5,15.83175355450237,0.2897958938066612
0.55,13.255952380952381,0.3545625311624786
0.6,13.021400778210117,0.3469947454794247
0.65,11.76578947368421,0.31345203231001784
0.7,11.859540636042404,0.3453779233872954
0.75,11.418941979522184,0.3289216312116529
0.8,11.054455445544555,0.311310989007769
0.85,10.946078431372548,0.3071166524061809
0.9,10.760450160771704,0.31887609960618346
0.95,10.71875,0.2943704565814275
1.0,10.457943925233645,0.295120356198277
