perturbation,mean,noise
-1.0,14.170550847457626,0.45951874367740436
-0.95,13.66905737704918,0.40419042101249425
-0.9,15.795990566037736,0.4825072090755718
-0.85,15.77122641509434,0.4945939878269007
-0.8,15.693661971830986,0.45625122882864727
-0.75,16.237864077669904,0.5148860442105072
-0.7,15.693661971830986,0.5053653826743545
-0.65,16.396551724137932,0.48776974285002234
-0.6,15.167045454545455,0.4814749694412038
-0.55,15.211363636363636,0.5025797270901184
-0.5,15.817216981132075,0.48515544769794355
-0.45,19.34393063583815,0.5356297136796437
-0.4,18.9364406779661,0.5486779587423205
-0.35,21.90686274509804,0.49060184312376187
-0.3,25.48846153846154,0.40135449207008467
-0.25,30.412844036697248,0.28577278170142717
-0.2,30.129545454545454,0.20625958849902962
-0.15,29.779017857142858,0.0684234122443939
-0.1,27.98949579831933,0.046533761120162276
-0.05,25.986328125,0.04400051091112316
0.0,24.284671532846716,0.04288722047850445
0.05,22.571428571428573,0.0452421438026347
0.1,21.071202531645568,0.039726457456562815
0.15,19.636764705882353,0.04250905071229847
0.2,18.278688524590162,0.03950750225785979
0.25,17.058673469387756,0.0404727515632388
0.3,15.860714285714286,0.04417800895515225
0.35,14.758810572687224,0.03992827067124237
0.4,13.731481481481481,0.041817078662351445
0.45,12.678977272727273,0.05036139178630613
0.5,11.719405594405595,0.07040815894841862
0.55,10.691693290734824,0.0656837576233735
0.6,9.791666666666666,0.10006177823003083
0.65,9.13283378746594,0.1609269193025654
0.7,8.758507853403142,0.2229790615842286
0.75,8.878647214854112,0.27118375978901954
0.8,9.46742209631728,0.31656341040237806
0.85,10.259174311926605,0.2996010946582432
0.9,10.61629746835443,0.2925406041344674
0.95,10.354166666666666,0.25569033101372074
1.0,10.000746268656716,0.24458287179413188
