time,phosphorylation level
0.0,0.12366666666666667
1.0,0.16325
2.0,0.2034166666666667
3.0,0.2409166666666667
4.0,0.27083333333333337
5.0,0.2910833333333333
6.0,0.31124999999999997
7.0,0.32500000000000007
8.0,0.3295
9.0,0.32933333333333337
10.0,0.32350000000000007
11.0,0.31191666666666673
12.0,0.29883333333333334
13.0,0.28025
14.0,0.26208333333333333
15.0,0.24016666666666667
16.0,0.21908333333333335
17.0,0.19741666666666668
18.0,0.17658333333333331
19.0,0.15683333333333335
20.0,0.13741666666666666
21.0,0.11825
22.0,0.10333333333333333
23.0,0.09666666666666666
24.0,0.09633333333333334
25.0,0.10141666666666667
26.0,0.11066666666666668
27.0,0.12575
28.0,0.1430833333333333
29.0,0.16591666666666666
30.0,0.18591666666666667
31.0,0.20675
32.0,0.22316666666666665
33.0,0.235
34.0,0.24608333333333335
35.0,0.24749999999999997
36.0,0.24641666666666667
37.0,0.23933333333333334
38.0,0.23016666666666666
39.0,0.21733333333333335
40.0,0.20225000000000004
41.0,0.18791666666666668
42.0,0.1716666666666667
43.0,0.15816666666666665
44.0,0.14616666666666667
45.0,0.13016666666666668
46.0,0.11941666666666667
47.0,0.10824999999999999
48.0,0.10325000000000001
49.0,0.10083333333333333
50.0,0.10325000000000001
51.0,0.10875
52.0,0.11966666666666667
53.0,0.13491666666666668
54.0,0.15158333333333332
55.0,0.16875
56.0,0.18675
57.0,0.2021666666666667
58.0,0.21566666666666667
59.0,0.22275000000000003
60.0,0.22608333333333336
61.0,0.22675
62.0,0.22491666666666668
63.0,0.2180833333333333
64.0,0.20800000000000002
65.0,0.19666666666666668
66.0,0.18033333333333335
67.0,0.16716666666666666
68.0,0.1539166666666667
69.0,0.14191666666666666
70.0,0.1295
71.0,0.11750000000000001
72.0,0.1075
73.0,0.10108333333333334
74.0,0.10283333333333333
75.0,0.10258333333333335
76.0,0.10925
77.0,0.11783333333333333
78.0,0.13025
79.0,0.147
80.0,0.16358333333333333
81.0,0.18183333333333335
82.0,0.19708333333333333
83.0,0.21141666666666667
84.0,0.2206666666666667
85.0,0.22425
86.0,0.22750000000000004
87.0,0.22466666666666665
88.0,0.21916666666666668
89.0,0.2066666666666667
90.0,0.19416666666666665
91.0,0.18308333333333335
92.0,0.16941666666666666
93.0,0.15658333333333335
94.0,0.14275000000000002
95.0,0.12983333333333333
96.0,0.12008333333333332
97.0,0.11150000000000002
98.0,0.10566666666666667
99.0,0.10725000000000001
100.0,0.11
101.0,0.11483333333333332
102.0,0.1255
103.0,0.13733333333333336
104.0,0.15375
105.0,0.16983333333333334
106.0,0.18575000000000003
107.0,0.2
108.0,0.21216666666666667
109.0,0.22025
110.0,0.22375
111.0,0.22283333333333333
112.0,0.2181666666666667
113.0,0.21366666666666667
114.0,0.2006666666666667
115.0,0.18991666666666665
116.0,0.1774166666666667
117.0,0.16291666666666668
118.0,0.15133333333333332
119.0,0.13958333333333334
120.0,0.12908333333333333
121.0,0.12325
122.0,0.11558333333333334
123.0,0.113
124.0,0.11183333333333333
125.0,0.11225
126.0,0.11966666666666666
127.0,0.129
128.0,0.1405
129.0,0.15350000000000003
130.0,0.16699999999999998
131.0,0.17591666666666667
132.0,0.18691666666666668
133.0,0.19408333333333333
134.0,0.20116666666666666
135.0,0.20416666666666666
136.0,0.20308333333333334
137.0,0.19958333333333333
138.0,0.1935
139.0,0.18358333333333332
140.0,0.1724166666666667
141.0,0.1635
142.0,0.14883333333333332
143.0,0.13591666666666666
144.0,0.12691666666666668
145.0,0.11966666666666667
146.0,0.11499999999999999
147.0,0.11191666666666666
148.0,0.11283333333333334
149.0,0.11649999999999998
150.0,0.12358333333333332
151.0,0.13441666666666668
152.0,0.14683333333333337
153.0,0.16083333333333336
154.0,0.17408333333333334
155.0,0.18383333333333332
156.0,0.19208333333333333
157.0,0.1991666666666667
158.0,0.1999166666666667
159.0,0.19733333333333333
160.0,0.19625000000000004
161.0,0.1895
162.0,0.17875
163.0,0.1681666666666667
164.0,0.15775
165.0,0.14633333333333334
166.0,0.13483333333333333
167.0,0.12316666666666667
168.0,0.11325000000000002
169.0,0.108
170.0,0.10458333333333333
171.0,0.10466666666666669
172.0,0.11008333333333334
173.0,0.11775000000000001
174.0,0.12825
175.0,0.14433333333333334
176.0,0.15925
177.0,0.17391666666666666
178.0,0.19308333333333333
179.0,0.2034166666666667
180.0,0.21108333333333335
181.0,0.21775
182.0,0.2185
183.0,0.21341666666666667
184.0,0.20858333333333334
185.0,0.2014166666666667
186.0,0.19341666666666668
187.0,0.18158333333333337
188.0,0.1695
189.0,0.15766666666666668
190.0,0.14625000000000002
191.0,0.13233333333333333
192.0,0.12158333333333333
193.0,0.11499999999999999
194.0,0.11058333333333334
195.0,0.10825
196.0,0.11066666666666666
197.0,0.11691666666666667
198.0,0.12308333333333334
199.0,0.13591666666666666
200.0,0.14991666666666667
201.0,0.16158333333333333
202.0,0.1731666666666667
203.0,0.18358333333333335
204.0,0.19475000000000003
205.0,0.20208333333333334
206.0,0.20366666666666666
207.0,0.20541666666666664
208.0,0.20525000000000002
209.0,0.2
210.0,0.19441666666666668
211.0,0.18433333333333335
212.0,0.17383333333333334
213.0,0.16
214.0,0.14858333333333332
215.0,0.13483333333333333
216.0,0.12441666666666668
217.0,0.11383333333333334
218.0,0.10583333333333333
219.0,0.09916666666666667
220.0,0.09766666666666667
221.0,0.10116666666666667
222.0,0.10958333333333332
223.0,0.12133333333333335
224.0,0.13541666666666669
225.0,0.15266666666666667
226.0,0.1670833333333333
227.0,0.18025000000000002
228.0,0.19558333333333333
229.0,0.20891666666666667
230.0,0.21591666666666667
231.0,0.21933333333333332
232.0,0.22058333333333333
233.0,0.21941666666666668
234.0,0.20883333333333334
235.0,0.20108333333333334
236.0,0.19216666666666665
237.0,0.17908333333333334
238.0,0.16583333333333333
239.0,0.15341666666666665
240.0,0.14025
241.0,0.12875
242.0,0.11908333333333333
243.0,0.11283333333333334
244.0,0.11266666666666666
245.0,0.11658333333333334
246.0,0.12016666666666667
247.0,0.12666666666666665
248.0,0.13675
249.0,0.14541666666666667
250.0,0.15591666666666668
251.0,0.16391666666666668
252.0,0.17491666666666666
253.0,0.185
254.0,0.19083333333333335
255.0,0.196
256.0,0.19766666666666666
257.0,0.19766666666666666
258.0,0.19125
259.0,0.18425000000000002
260.0,0.175
261.0,0.16491666666666668
262.0,0.152
263.0,0.13949999999999999
