"#period","damping","phase diffusion coefficient"
24.025592291455386,0.0011100290158751257,0.00005997048961006238
23.48023028251517,0.0026459224121684766,0.000042637353938695645
23.904878132576602,0.001207518563158232,0.000031042607624115986
24.74452807175368,3.197159505463513e-9,0.000019506733463294643
23.75739626635104,0.001575553271255283,0.000060539033391557285
23.250669683624263,0.011332718769388014,0.00006642671554117864
24.05014616611642,0.002049491704983747,0.00007251384987066717
23.706133515800612,0.0010209850984227611,0.00002564218618631676
23.87146724721611,0.0018477737486330451,0.00006127097824035529
23.72990910243325,0.0017207352960597736,0.00003824023198105206
23.459928268139976,0.0008892146538492926,0.00002234993152953744
23.291332287725353,0.0010590307847607023,0.000037098173054271836
24.175014321994226,0.0016343458125101123,0.00004140406834145431
23.804674512039913,0.001270733829104853,0.00003635357702523117
23.648878245873725,0.0013532790204345184,0.00003541212948688721
23.800928895470427,0.001658707395213267,0.00004009945477513787
24.537197755287245,0.0015959412110059712,0.000111017088420378
23.628706042071986,0.004504353368197011,0.00006494661968169941
23.691068157423857,0.00200391010179984,0.0000977678980510189
23.452915248167628,0.0011830732788385527,0.00002263353919209153
23.809025746355303,0.0025450185523144112,0.0000640301993301687
24.351668059734024,0.0027699293988420765,0.00020921720358110484
23.949296509730022,0.0033872141345604252,0.00012191433019633036
23.85146115560289,0.002005615481065003,0.00004684456991585859
23.69827782706792,0.0014317059544462956,0.000023433691731930254
24.15164027038443,0.0019834825053570457,0.00005909288297040272
24.13180706472373,0.0009924149816269551,0.000035669242498541884
