"#period","damping","phase diffusion coefficient"
18.85033134682338,0.010973525328766677,0.0006135360474874329
18.33535521631759,0.08011740208465344,0.004212791840165795
27.770552196725113,0.14296091897114796,0.0030837343100955494
64.2146080024942,0.03469055377513878,0.002586897866843814
17.103568375326265,0.04070555608827472,0.0038336927319204427
27.162744637724053,0.22030981400922708,0.00437882496278002
23.384960194487597,0.07090248799045967,0.0033837152190035443
78.84167553173533,0.03290444807952258,0.010083261500990225
32.233187097376664,0.10269784661880227,0.004799706692387839
18.01908980499763,0.06492996748926731,0.0014818500240453385
20.501945951318074,0.013526101994065707,0.0007856086231848555
21.376874637163393,0.011857173307209229,0.0011389831625441445
26.78132215550515,0.24091614490165034,0.009758409488924955
23.809905179203614,0.04912986976298777,0.0021710770055143784
23.302048882490155,0.08569870008715474,0.0026860050343444756
19.94775467517547,0.10107737384043675,0.008427588031428183
33.04336892022138,0.1330643773828791,0.0068437211429517655
