"#period","damping","phase diffusion coefficient"
24.226751886363253,1.4183829244043257e-9,0.00010719086299037488
25.010249623576005,0.0020264023161813355,0.00008709985289261673
24.594317821788415,3.308563670444036e-9,0.00009930734588551252
24.86642963952758,2.6132243309325136e-9,0.00008487899210184987
24.497332374356063,0.0024349269199329254,0.00012072624695209104
25.07521070672203,0.0009905391828748617,0.00008618904610802493
24.10485030073587,1.1142848875149659e-9,0.00008582599989841726
24.827643400771123,0.0023617739830847787,0.00009988719374172187
24.725284145940954,0.0022084752050403555,0.00009751235195948606
24.15761574002706,0.0021552739255474482,0.00008509113879877781
25.613610874885914,0.0025683875829621305,0.00008314748357787152
25.300538724271348,0.002168765776956264,0.00008703725522168949
25.42835785512148,0.0020545944665572072,0.0000710568969184864
24.966766776204267,0.002568151951875043,0.00013275581503734694
24.918027742434923,0.0016789223562617567,0.00007983649749739514
24.88004142971655,0.001782560246017986,0.00007684074722819795
25.02366150427981,0.0016601669220890176,0.00009526396883171936
25.28999082386649,0.002902879655218635,0.00008679561727741774
25.051095013270007,0.0023756408051983646,0.00009372390171803056
25.01967893660474,0.001960519678327135,0.00009852498641093325
25.136887816127423,0.002334519988024778,0.00010981722164714941
24.51313171075493,0.0017287608962915312,0.00008445446511660749
25.297560595506358,0.001665709700172177,0.00006770281083396876
25.16775000643121,0.001813588527018363,0.000047903828718412834
24.83738568833368,0.001561736048177504,0.000068012880259021
24.59576745580092,0.002374592339043843,0.00011863930366821938
24.958036947936137,0.002832997258630406,0.0001233923526740984
25.409692200722688,0.0021289888556757265,0.00008304578980312022
24.409610678237566,0.0016871768289492416,0.00010688298151657383
23.41927170887635,0.0023106012164392288,0.00008145174968906291
25.33523926518866,0.0031199646707541478,0.00010259867992330937
25.313861690824265,0.002701636000450241,0.00011202135440620769
25.230866488775217,0.0022057323241428876,0.00009805712265790692
24.937172101425983,0.0024803660780009376,0.00012196303172837416
25.29763230035714,0.0022048554412156815,0.00006746752172304658
24.96429036707166,0.0020467581841165108,0.00007440533837582461
25.37879198368062,0.0028220219552170145,0.00011992931018998239
24.801146703510497,0.0022545233700357425,0.00009982718335304778
25.166617620020055,0.0020874853453861798,0.00009059607309823374
24.976109121998892,0.00302241124779352,0.00015432452400178823
25.198973956572647,0.002582690506218811,0.00010322055074358372
25.38754883641327,0.0028266287425463537,0.00009476534387779094
